screen,function,kind,depth,targetScreen,targetSymbol,symbolType,status,line,expression,message
"Form/TabOpenerBridge.xfdl","fnOpener","POPUP_OPENER","0","","fnCallback","UNKNOWN","RUNTIME_VERIFY_REQUIRED","2","function fnOpener(){ return opener.fnCallback(""A""); }","Popup opener는 Tab parent와 별도 scope; 명시적 opener scope/window가 있을 때 runtime bridge 사용"
"Form/TabOpenerFunction.xfdl","fnCall","POPUP_OPENER","0","","fnCallback","UNKNOWN","RUNTIME_VERIFY_REQUIRED","2","function fnCall(){ return opener.fnCallback(""A""); }","Popup opener는 Tab parent와 별도 scope; 명시적 opener scope/window가 있을 때 runtime bridge 사용"
"Form/TabParentAndOpener.xfdl","fnBoth","POPUP_OPENER","0","","fnCallback","UNKNOWN","RUNTIME_VERIFY_REQUIRED","2","function fnBoth(){ var a=parent.parent.fnParent(); var b=opener.fnCallback(); return a+b; }","Popup opener는 Tab parent와 별도 scope; 명시적 opener scope/window가 있을 때 runtime bridge 사용"
"TabContent/OwnerBridgeChild.xfdl","fnOwnerCalls","OWNER_FRAME","0","TabContent/OwnerBridgeChild.xfdl","fnLocalOwner","FUNCTION","RESOLVED","3","function fnOwnerCalls(){ var a=this.getOwnerFrame().form.fnLocalOwner(""A""); var b=this.getOwnerFrame().form.edtOwner.value; var c=this.getOwnerFrame().form.dsOwner.getRowCount(); var args=this.getOwnerFrame().arguments; return a+b+c; }","getOwnerFrame().form은 현재 Form의 owner WFrame scope로 변환"
"TabContent/OwnerBridgeChild.xfdl","fnOwnerCalls","OWNER_FRAME","0","TabContent/OwnerBridgeChild.xfdl","edtOwner","COMPONENT","RESOLVED","3","function fnOwnerCalls(){ var a=this.getOwnerFrame().form.fnLocalOwner(""A""); var b=this.getOwnerFrame().form.edtOwner.value; var c=this.getOwnerFrame().form.dsOwner.getRowCount(); var args=this.getOwnerFrame().arguments; return a+b+c; }","getOwnerFrame().form은 현재 Form의 owner WFrame scope로 변환"
"TabContent/OwnerBridgeChild.xfdl","fnOwnerCalls","OWNER_FRAME","0","TabContent/OwnerBridgeChild.xfdl","dsOwner","DATASET","RESOLVED","3","function fnOwnerCalls(){ var a=this.getOwnerFrame().form.fnLocalOwner(""A""); var b=this.getOwnerFrame().form.edtOwner.value; var c=this.getOwnerFrame().form.dsOwner.getRowCount(); var args=this.getOwnerFrame().arguments; return a+b+c; }","getOwnerFrame().form은 현재 Form의 owner WFrame scope로 변환"
"TabContent/OwnerBridgeChild.xfdl","fnOwnerParent","OWNER_FRAME","1","","fnHost","UNKNOWN","RUNTIME_VERIFY_REQUIRED","4","function fnOwnerParent(){ return this.getOwnerFrame().getOwnerFrame().form.fnHost(); }","다중 getOwnerFrame() chain은 Frame tree 문맥이 필요하여 runtime owner resolver 사용"
"TabContent/OwnerBridgeChild.xfdl","fnOwnerCalls","OWNER_FRAME","0","TabContent/OwnerBridgeChild.xfdl","arguments","UNKNOWN","RUNTIME_VERIFY_REQUIRED","3","function fnOwnerCalls(){ var a=this.getOwnerFrame().form.fnLocalOwner(""A""); var b=this.getOwnerFrame().form.edtOwner.value; var c=this.getOwnerFrame().form.dsOwner.getRowCount(); var args=this.getOwnerFrame().arguments; return a+b+c; }","Owner Frame arguments는 WFrame parameter/dataObject bridge로 변환하며 실제 argument reference semantics는 runtime 확인 필요"
